Zip Code|Bin Code
52736|D60-O-278
628|S60-Y-511
629|S60-Y-511
52749|D60-I-99
630|S60-Y-511
52761|D60-I-99
631|S60-Y-511
52771|D60-O-278
633|S60-Y-511
52801|D60-O-280
634|S60-Y-511
52802|D60-O-280
635|S60-W-509
52803|D60-O-280
636|S60-Y-511
52804|D60-O-280
637|S60-Y-511
52805|D60-O-280
638|S60-Y-511
52806|D60-O-276
639|S60-Y-511
52807|D60-O-276
640|S60-X-510
52808|D60-O-280
641|S60-X-510
52809|D60-O-276
644|S60-X-510
54701|D60-J-124
645|S60-X-510
54703|D60-J-124
646|S60-X-510
54720|D60-J-124
647|S60-X-510
54729|D60-J-122
648|S60-U-507
54774|D60-J-122
649|S60-X-510
54836|D60-J-123
650|S60-W-509
54880|D60-J-123
651|S60-W-509
55016|D60-K-140
652|S60-W-509
653|S60-W-509
55044|D60-J-134
55055|D60-K-140
654|S60-U-507
55071|D60-K-140
655|S60-U-507
55075|D60-K-141
656|S60-U-507
55076|D60-K-141
657|S60-U-507
55077|D60-K-141
658|S60-U-507
55118|D60-K-157
660|S60-X-510
55119|D60-K-144
661|S60-X-510
55120|D60-K-157
662|S60-X-510
55121|D60-K-157
664|S60-X-510
55122|D60-K-157
665|S60-X-510
55123|D60-K-157
666|S60-X-510
55124|D60-K-142
667|S60-X-510
55125|D60-J-133
668|S60-X-510
55128|D60-K-144
669|S60-V-508
55129|D60-J-133
670|S60-V-508
55150|D60-K-157
55303|D60-K-151
671|S60-V-508
55304|D60-K-149
672|S60-V-508
55305|D60-J-130
673|S60-V-508
55306|D60-K-156
674|S60-V-508
55311|D60-K-147
675|S60-V-508
55317|D60-J-139
676|S60-V-508
55318|D60-J-139
677|S60-C-33
55330|D60-K-153
678|S60-V-508
55331|D60-J-139
680|S60-T-506
55337|D60-K-156
681|S60-T-506
55343|D60-J-130
683|S60-T-506
55369|D60-K-147
684|S60-T-506
55378|D60-K-156
685|S60-T-506
55386|D60-J-139
686|S60-T-506
55391|D60-J-130
687|S60-T-506
55428|D60-K-148
688|S60-T-506
55429|D60-K-148
689|S60-T-506
55430|D60-K-148
690|S60-C-33
55431|D60-J-137
691|S60-C-33
55433|D60-K-154
692|S60-C-33
55434|D60-J-132
693|S60-C-33
55437|D60-J-137
710|S60-C-30
55438|D60-J-137
711|S60-C-30
55443|D60-J-135
712|S60-C-30
55444|D60-J-135
713|S60-C-30
55445|D60-J-135
714|S60-C-30
55448|D60-K-154
716|S60-A-11
55449|D60-K-154
717|S60-A-11
55569|D60-K-147
718|S60-C-30
55802|D60-K-158
719|S60-A-11
55805|D60-K-158
720|S60-A-11
55806|D60-K-158
721|S60-A-11
55807|D60-K-158
722|S60-A-11
55808|D60-K-158
723|S60-F-61
55810|D60-K-158
724|S60-F-61
55811|D60-K-158
725|S60-A-11
55812|D60-K-158
726|S60-A-12
55814|D60-K-158
727|S60-A-12
55816|D60-K-158
728|S60-A-11
55901|D60-K-146
729|S60-A-12
55902|D60-K-146
730|S60-B-20
55903|D60-K-146
731|S60-B-20
55905|D60-K-146
733|S60-G-78
55920|D60-K-146
734|S60-B-20
56001|D60-K-152
735|S60-B-20
56002|D60-K-152
56003|D60-K-152
736|S60-B-20
56007|D60-J-138
737|S60-B-20
56034|D60-K-152
738|S60-B-20
56301|D60-K-159
740|S60-A-13
56302|D60-K-159
741|S60-A-13
56303|D60-K-159
743|S60-A-13
56304|D60-K-159
744|S60-A-13
56308|D60-K-143
745|S60-A-13
746|S60-A-13
56345|D60-J-136
747|S60-A-13
56372|D60-K-159
748|S60-B-20
56377|D60-K-159
749|S60-A-13
56387|D60-K-159
750|S60-B-27
56388|D60-K-159
754|S60-B-27
56393|D60-K-159
755|S60-C-30
56395|D60-K-159
756|S60-C-30
56396|D60-K-159
757|S60-B-27
56398|D60-K-159
758|S60-B-27
56399|D60-K-159
759|S60-C-30
56401|D60-K-155
760|S60-B-28
56425|D60-K-155
761|S60-B-28
56449|D60-K-155
762|S60-B-28
56501|D60-J-131
763|S60-B-28
56502|D60-J-131
764|S60-B-28
56547|D60-K-150
765|S60-G-78
56560|D60-K-150
766|S60-B-28
56561|D60-K-150
767|S60-B-28
56562|D60-K-150
770|S60-E-52
56563|D60-K-150
772|S60-E-52
56577|D60-J-131
773|S60-E-52
56578|D60-J-131
774|S60-E-52
56601|D60-K-145
775|S60-E-52
56619|D60-K-145
776|S60-E-52
56631|D60-K-145
777|S60-E-52
56658|D60-K-145
778|S60-E-52
56667|D60-K-145
780|S60-E-53
56721|D60-J-128
781|S60-E-53
57101|D60-M-209
782|S60-E-53
57103|D60-M-209
786|S60-G-78
57104|D60-M-209
787|S60-G-78
57105|D60-M-208
788|S60-E-53
57106|D60-M-208
789|S60-G-78
57107|D60-M-209
798|S60-F-63
57108|D60-M-208
799|S60-F-63
57110|D60-M-209
800|S60-A-15
57117|D60-M-209
801|S60-A-15
57186|D60-M-209
802|S60-A-15
57193|D60-M-209
803|S60-A-15
57197|D60-M-208
804|S60-A-15
57198|D60-M-209
805|S60-A-15
57201|D60-M-202
57401|D60-M-204
806|S60-A-15
57402|D60-M-204
807|S60-A-15
808|S60-A-15
57427|D60-M-204
57474|D60-M-204
809|S60-A-15
57701|D60-S-400
810|S60-A-15
57702|D60-S-400
811|S60-A-15
57703|D60-S-400
812|S60-A-15
57709|D60-S-400
813|S60-D-47
57737|D60-M-201
820|S60-C-38
57747|D60-M-207
822|S60-C-38
57748|D60-M-201
823|S60-C-38
57763|D60-M-207
829|S60-H-82
57779|D60-M-203
830|S60-H-82
831|S60-H-82
57782|D60-M-207
832|S60-H-82
57783|D60-M-203
834|S60-H-82
57785|D60-M-201
835|S60-G-72
57792|D60-M-201
838|S60-G-72
57799|D60-M-203
58047|D60-J-126
840|S60-H-82
58078|D60-J-126
841|S60-H-82
58102|D60-J-127
842|S60-H-82
58103|D60-J-129
843|S60-H-82
58104|D60-J-129
844|S60-H-82
58106|D60-J-129
850|S60-H-84
58109|D60-J-129
851|S60-H-84
58201|D60-J-128
852|S60-H-84
853|S60-H-84
58202|D60-J-128
855|S60-H-84
58203|D60-J-128
856|S60-D-46
58204|D60-J-128
857|S60-D-46
58205|D60-J-128
58206|D60-J-128
859|S60-H-84
58207|D60-J-128
860|S60-H-84
58208|D60-J-128
863|S60-H-84
58228|D60-J-128
864|S60-G-76
58501|D60-H-88
865|S60-D-47
58503|D60-H-88
870|S60-D-47
58504|D60-H-88
871|S60-D-47
58505|D60-H-88
873|S60-D-47
58506|D60-H-88
874|S60-D-47
58521|D60-H-88
875|S60-D-47
58558|D60-H-88
876|S60-D-47
58701|D60-F-65
877|S60-D-47
58702|D60-F-65
878|S60-D-47
58703|D60-F-65
879|S60-D-47
58704|D60-F-65
880|S60-F-63
58705|D60-F-65
883|S60-F-63
884|S60-D-47
885|S60-F-63
889|S60-G-76
890|S60-G-76
891|S60-G-76
58707|D60-F-65
893|S60-G-76
58731|D60-F-65
898|S60-H-82
919|S60-H-87
58740|D60-F-65
920|S60-H-87
58768|D60-F-65
921|S60-H-87
58785|D60-F-65
922|S60-H-86
61201|D60-N-234
923|S60-H-86
61204|D60-N-234
924|S60-H-86
61230|D60-O-278
925|S60-H-86
61252|D60-O-278
942|S60-H-85
61264|D60-N-234
952|S60-H-85
61265|D60-N-230
953|S60-H-85
61266|D60-N-230
956|S60-H-85
61285|D60-O-278
957|S60-H-85
61299|D60-N-234
958|S60-H-85
959|S60-H-85
61401|D60-N-233
970|S60-G-77
61402|D60-N-233
971|S60-G-77
62040|D60-P-314
972|S60-G-77
62060|D60-P-314
973|S60-G-77
62071|D60-P-313
974|S60-F-68
62090|D60-P-314
977|S60-G-77
62201|D60-P-313
978|S60-G-77
62202|D60-P-313
980|S60-F-62
62203|D60-P-313
981|S60-F-62
62204|D60-P-313
982|S60-F-62
62205|D60-P-313
983|S60-F-69
62206|D60-P-313
984|S60-F-69
62207|D60-P-313
985|S60-F-69
62208|D60-P-319
986|S60-G-77
62220|D60-P-318
990|S60-G-72
62221|D60-P-318
991|S60-G-72
992|S60-G-72
62222|D60-P-318
993|S60-G-72
62223|D60-P-319
62225|D60-P-318
62226|D60-P-319
62232|D60-N-228
62234|D60-N-228
62243|D60-P-318
62269|D60-N-232
62301|D60-N-236
62305|D60-N-236
62306|D60-N-236
62801|D60-N-229
62816|D60-N-231
62864|D60-N-231
62882|D60-N-229
62893|D60-N-229
62959|D60-N-235
63010|D60-N-213
63011|D60-P-331
63012|D60-N-239
63019|D60-N-221
63021|D60-P-331
63022|D60-P-331
63024|D60-P-331
63026|D60-P-335
63028|D60-N-221
63031|D60-P-355
63032|D60-P-355
63033|D60-P-355
63034|D60-P-355
63049|D60-P-335
63052|D60-N-239
63053|D60-N-239
63099|D60-P-335
63104|D60-P-342
63106|D60-N-252
63107|D60-P-354
63108|D60-N-252
63109|D60-N-253
63111|D60-P-342
63112|D60-P-354
63113|D60-P-354
63114|D60-J-125
63115|D60-P-354
63116|D60-N-258
63118|D60-P-342
63120|D60-P-354
63121|D60-P-341
63123|D60-P-333
63125|D60-P-332
63126|D60-N-250
63127|D60-N-250
63128|D60-N-250
63129|D60-N-216
63133|D60-P-341
63134|D60-P-341
63136|D60-P-344
63137|D60-P-334
63138|D60-P-334
63139|D60-N-253
63140|D60-P-341
63145|D60-J-125
63147|D60-P-354
63151|D60-N-216
63156|D60-N-252
63157|D60-P-342
63158|D60-P-342
63163|D60-P-342
63301|D60-N-212
63302|D60-N-212
63303|D60-P-339
63304|D60-P-339
63362|D60-N-237
63366|D60-P-345
63367|D60-P-345
63368|D60-P-345
63373|D60-N-212
63376|D60-P-337
63379|D60-N-237
63385|D60-N-238
63401|D60-N-217
63601|D60-O-302
63624|D60-O-302
63628|D60-O-302
63637|D60-O-302
63640|D60-O-302
63645|D60-N-254
