Zip Code|Bin Code
37729|D64-C-206
37743|D64-B-102
37744|D64-B-102
37745|D64-B-102
37748|D64-K-1001
37766|D64-C-206
37771|D64-N-4006
37772|D64-N-4006
37773|D64-J-906
37778|D64-G-616
37801|D64-B-101
37802|D64-B-101
37803|D64-B-101
37804|D64-B-101
37813|D64-G-616
37814|D64-G-616
37815|D64-G-616
37816|D64-G-616
37821|D64-E-432
37822|D64-E-432
37824|D64-J-906
37825|D64-J-906
37830|D64-J-901
37831|D64-J-901
37849|D64-K-1002
37857|D64-E-434
37862|D64-B-104
37864|D64-B-104
37865|D64-C-207
37876|D64-B-104
37878|D64-B-101
37879|D64-J-906
37909|D64-E-429
37912|D64-E-429
37914|D64-E-428
37918|D64-E-431
37920|D64-E-427
37921|D64-E-429
37922|D64-C-204
37923|D64-E-430
37924|D64-E-428
37928|D64-E-431
37930|D64-E-430
37931|D64-E-430
37932|D64-E-430
37934|D64-C-204
37940|D64-E-427
37998|D64-E-427
38002|D64-F-509
38016|D64-B-108
38018|D64-B-108
38024|D64-N-4007
38025|D64-N-4007
38047|D64-N-4007
38053|D64-E-420
38054|D64-E-420
38055|D64-E-420
38083|D64-E-420
38088|D64-B-108
38103|D64-G-624
38104|D64-E-424
38105|D64-E-424
38106|D64-G-624
38108|D64-L-2006
38109|D64-G-629
38111|D64-C-202
38112|D64-L-2006
38114|D64-C-202
38115|D64-G-623
38116|D64-G-626
38118|D64-N-4004
38125|D64-G-623
38126|D64-G-624
38127|D64-E-422
38128|D64-E-425
38130|D64-N-4004
38131|D64-G-626
38132|D64-G-626
38133|D64-G-628
38134|D64-G-628
38135|D64-G-628
38136|D64-G-624
38141|D64-G-623
38152|D64-C-202
38163|D64-G-624
38167|D64-E-422
38168|D64-E-425
38173|D64-G-624
38174|D64-E-424
38175|D64-G-623
38181|D64-N-4004
38182|D64-L-2006
38184|D64-G-628
38186|D64-G-626
38190|D64-G-629
38193|D64-G-623
38242|D64-L-2002
38301|D64-M-3002
38302|D64-M-3002
38303|D64-M-3002
38305|D64-E-421
38308|D64-E-421
38314|D64-M-3002
38388|D64-M-3002
38401|D64-G-612
38402|D64-G-612
38463|D64-G-612
38464|D64-J-907
38473|D64-G-612
