Carrier|Service|Container Type|Weight Not Over Oz|Cost Zone 1|Cost Zone 2|Cost Zone 3|Cost Zone 4|Cost Zone 5|Cost Zone 6|Cost Zone 7|Cost Zone 8|Cost Zone 9|Cost Zone Ddu|Cost Zone Scf|Cost Zone Ndc|Cost Zone Ddu Out 48|Cost Zone Scf Out 48|Cost Zone Ndc Out 48|Charge Zone 1|Charge Zone 2|Charge Zone 3|Charge Zone 4|Charge Zone 5|Charge Zone 6|Charge Zone 7|Charge Zone 8|Charge Zone 9|Charge Zone Ddu|Charge Zone Scf|Charge Zone Ndc|Charge Zone Ddu Out 48|Charge Zone Scf Out 48|Charge Zone Ndc Out 48
USPS|PRIORITY_MAIL|PACKAGE|608|21.28|21.28|26.24|33.79|43.75|54.81|63.85|77.64|204.23|0|0|0|0|0|0|21.52|21.52|21.52|26.48|34.03|43.99|55.05|64.09|77.88|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|592|21.1|21.1|25.62|33.36|42.9|53.31|63.13|76.42|201.02|0|0|0|0|0|0|21.34|21.34|21.34|25.86|33.6|43.14|53.55|63.37|76.66|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|576|20.87|20.87|25.15|32.89|42.15|51.96|62.34|75.19|197.75|0|0|0|0|0|0|21.11|21.11|21.11|25.39|33.13|42.39|52.2|62.58|75.43|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|560|20.61|20.61|24.44|32.46|41.26|50.68|61.49|73.95|194.44|0|0|0|0|0|0|20.85|20.85|20.85|24.68|32.7|41.5|50.92|61.73|74.19|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|544|20.38|20.38|23.88|32.01|40.4|49.35|60.29|72.68|191.19|0|0|0|0|0|0|20.62|20.62|20.62|24.12|32.25|40.64|49.59|60.53|72.92|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|528|20.2|20.2|23.26|31.21|39.55|48.22|59.07|71.35|187.63|0|0|0|0|0|0|20.44|20.44|20.44|23.5|31.45|39.79|48.46|59.31|71.59|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|512|19.89|19.89|22.63|30.45|39.03|47.31|57.88|70.05|184.23|0|0|0|0|0|0|20.13|20.13|20.13|22.87|30.69|39.27|47.55|58.12|70.29|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|496|19.67|19.67|22.17|29.96|38.58|46.69|56.66|68.67|180.55|0|0|0|0|0|0|19.91|19.91|19.91|22.41|30.2|38.82|46.93|56.9|68.91|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|480|19.13|19.13|21.97|29.49|38.11|46.03|55.44|67.28|175.52|0|0|0|0|0|0|19.37|19.37|19.37|22.21|29.73|38.35|46.27|55.68|67.52|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|464|18.58|18.58|21.64|28.82|37.59|44.77|54.25|65.87|171.8|0|0|0|0|0|0|18.82|18.82|18.82|21.88|29.06|37.83|45.01|54.49|66.11|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|448|18.03|18.03|21.43|28.05|37.1|44.02|53.04|64.13|167.33|0|0|0|0|0|0|18.27|18.27|18.27|21.67|28.29|37.34|44.26|53.28|64.37|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|432|17.51|17.51|21.14|27.29|36.15|43.45|51.82|61.8|161.28|0|0|0|0|0|0|17.75|17.75|17.75|21.38|27.53|36.39|43.69|52.06|62.04|0|0|0|0|0|0
